objectid,indicatif,aff_code,toponyme,n_concessi,sup_sig,bureau_cer,wood_vol06,wood_vol07,wood_vol08,rfa_ha,validite,attributai,date_attri,exploitant,groupe_par,province,departemen,commune,sup_provis,classement,date_class,ref_classe,sup_defini,plan_amgmt,date_appro,ref_appro,observatio,certif_fm,certif_cw,certif_leg,date_fm,date_cw,date_legal,statut,shape_leng,nom,ref_doc_of,type_doc_o,date_,classe,gfwid,globalid,shape_Length,shape_Area
98,041000702,Fx,10-049,1085,34175.1207669, ,0,0,0,1620,V,PMF WOOD,2006,PMF Wood,NA,Est,Haut Nyong, ,32675,EnCours,NA,NA,NA,Sans plan d'aménagement,NA,NA, , , , , , , ,Attribué,180626.479199, , , , , ,834f1264-621b-46c8-b99d-caeabcc1c079,{0A0DA4C0-4950-4892-89D5-AB1A072D2748},181308.191480033,344386185.770272
100,041000702,Fx,10-050,1085,37343.3977552, ,0,0,0,1620,V,PMF WOOD,2006,PMF Wood,NA,Est,Haut Nyong, ,38013,Classee,2000,2000/738/PM,ND,Sans plan d'aménagement,NA,NA, , , , , , , ,Attribué,211699.121175, , , , , ,bf3ef7c7-f7f3-48fa-835b-43b86e2dbe0e,{0B9A904D-3463-4B83-836A-02C5DB590F3B},212450.44744341,376149804.606531
101,041000701,Fx,11-005,1087,80370.4532426,Bureau Veritas,5211,39309,39746,3050,V,CAFECO,2006,CAFECO,WIJMA,Sud Ouest,Manyu, ,80800,EnCours,NA,NA,NA,Plan Aménagement Approuvé,2009,ND, ,FSC, ,OLB,10/03/2010, ,21/08/2009,Attribué,398218.201237, , , , , ,d777a228-e564-4968-9845-35ef9689d0a9,{20D2EEB9-477E-483E-ACF0-3DD364907E7B},401728.121073217,817804487.009201
102,041000702,Fx,07-003,1091,29190.1553951, ,0,0,0,1375,V,ENJC,2012,ENJC,NA,Littoral,Nkam et Mungo, ,28410,NA,NA,NA,NA,Sans plan d'aménagement,NA,NA,0214/C/MINFOF/SG/DF/SDAFF/SAG DU 28 Août 2012, , , , , , ,Attribué,123850.215993, , , , , ,08d79396-08d6-4443-bc39-7233374a8986,{E810D3EB-7CEB-4781-85AC-0CADEDB5D8BD},124737.121703068,295940077.766554
103,041000702,Fx,11-006,1092,28115.5075062, ,0,0,0,6100,V,SEFECAM,2012,Boitex,NA,Sud Ouest,Manyu, ,64104,NA,NA,NA,NA,Sans plan d'aménagement,NA,NA,0214/C/MINFOF/SG/DF/SDAFF/SAG DU 28 Août 2012, , , , , , ,Attribué,113982.38721, , , , , ,195b52b4-a549-4200-ac53-ef98d8ce210e,{4060A2B8-83D1-4FE9-8018-EC091BDD3ED9},114942.462227508,285895528.506784
104,041000702,Fx,11-007,1093,36269.8092737, ,0,0,0,0,N,NA,NA,NA,NA,Sud Ouest,Kupe Manenguba, ,36269,NA,NA,NA,NA,Non attribuée,NA,NA,0214/C/MINFOF/SG/DF/SDAFF/SAG DU 28 Août 2012, , , , , , ,Non attribuée,167437.354883, , , , , ,e6104c3d-033d-4d3b-8917-52822323b6b1,{3CAAE73D-975A-413B-BD90-3D9FB354703A},168815.75899418,368338302.152372
105,041000702,Fx,11-008,1094,27363.3580204, ,0,0,0,1400,V,SEPFCO,2012,Boitex,NA,Sud Ouest,Ndian et Meme, ,27364,NA,NA,NA,NA,Sans plan d'aménagement,NA,NA,0214/C/MINFOF/SG/DF/SDAFF/SAG DU 28 Août 2012, , , , , , ,Attribué,149495.735534, , , , , ,958237f4-e891-45c9-9549-b16fe5a90bef,{06CE4AF4-C588-4A3F-9034-6623988D50A7},150541.037351643,277354442.134241
106,041000701,Fx,11-002,1068,54466.1847639, ,14142,0,0,4500,V,SEFECAM,2012,Boitex,NA,Sud Ouest,Manyu,Upper Bayang,72705,Classee,2006,2006/0766/PM du 9 Juin 2006,54807,Plan Aménagement Approuvé,2009,ND,0214/C/MINFOF/SG/DF/SDAFF/SAG DU 28 Août 2012, , , , , , ,Attribué,218698.054217, , , , , ,52bb066d-d049-4abb-a78c-e5f9d936015a,{49812E10-5DA0-4CE5-A1C2-28E7E39AD2EF},220316.017700674,553989368.150276
107,041000701,Fx,08-007,1049,34298.423355, ,0,11260,0,1500,V,CANABOIS,2006,CANABOIS,NA,Centre,Nanga Eboko,Bibey,33863,EnCours,NA,NA,NA,Plan Aménagement Approuvé,2005,078/N/MINFOF/SG/DF/SDIAF/SA, , , , , , , ,Attribué,84444.8812338, , , , , ,6550e9e5-6dbc-431b-b813-69c0a9832e0b,{DDBC1743-BBB9-4C49-85A0-E00DC1F7BF4B},84904.6317660044,346949871.784457
108,041000702,Fx,10-048,1084,66840.4200367, ,0,0,0,2100,V,SOFOHNY,2012,SOFOHNY, ,Est,Haut Nyong, ,68030,Classee,2011,2011/1577/PM DU 29 JUIN 2011,66607,Sans plan d'aménagement,NA,NA, , , , , , , ,Attribué,305658.804856, , , , , ,e33e2025-37b6-4399-a0c0-0ece03b859d4,{AE425945-5875-417B-8076-A75CC8712689},306583.410712619,672822568.844485
